,Movie title,rating,genre,year,date.x,location,score,votes,director,writer,star,country,budget,company,runtime,qtr,date.y,gross_income
32,The Hunt,R,Drama,2012,1/10/2013,Denmark),8.3,297000,Thomas Vinterberg,Tobias Lindholm,Mads Mikkelsen,Denmark,3.80E+06,Danmarks Radio (DR),115,2013.1,Mar 13,5812500
33,Ip Man 4: The Finale,Not Rated,Action,2019,12/20/2019,China),7,27000,Wilson Yip,Edmond Wong,Donnie Yen,Hong Kong,5.20E+07,Golden Harvest Company,107,2019.4,Dec 25,3956031
34,Portrait of a Lady on Fire,R,Drama,2019,2/14/2020,United States),8.1,74000,Céline Sciamma,Céline Sciamma,Noémie Merlant,France,NA,Lilies Films,122,2020.1,Dec 6,3759854
35,Pinocchio,G,Comedy,2002,12/25/2002,United States),4.4,7900,Roberto Benigni,Roberto Benigni,Roberto Benigni,Italy,NA,Melampo Cinematografica,108,2002.4,Dec 25,1831718
36,The Call,R,Crime,2013,3/15/2013,United States),6.7,115000,Brad Anderson,Richard D'Ovidio,Halle Berry,United States,1.30E+07,TriStar Pictures,94,2013.1,Oct 2,516521
37,Infamous,R,Biography,2006,10/13/2006,United States),7.1,17000,Douglas McGrath,Douglas McGrath,Toby Jones,United States,1.30E+07,Warner Independent Pictures (WIP),110,2006.4,Jun 12,429148
38,Tulsa,PG-13,Comedy,2020,6/3/2020,United States),5,294,Scott Pryor,Scott Pryor,Scott Pryor,United States,NA,Pryor Entertainment,120,2020.2,Aug 21,413378
39,The Eight Hundred,Not Rated,Action,2020,8/28/2020,United States),6.8,3700,Hu Guan,Hu Guan,Zhi-zhong Huang,China,8.00E+07,Beijing Diqi Yinxiang Entertainment,149,2020.3,Aug 28,372755
40,Les Misérables,PG-13,Crime,1998,5/1/1998,United States),7.4,39000,Bille August,Victor Hugo,Liam Neeson,United Kingdom,NA,Mandalay Entertainment,134,1998.2,Jan 10,330181
41,Les Misérables,PG-13,Drama,2012,12/25/2012,United States),7.6,315000,Tom Hooper,William Nicholson,Hugh Jackman,United Kingdom,6.10E+07,Universal Pictures,158,2012.4,Jan 10,330181
